aux	inflected	infinitive
will	intensify	intensify
will	warrant	warrant
will	interfere	interfere
will	slow	slow
will	fetch	fetch
will	pray	pray
will	keep	keep
will	feign	feign
will	chuckle	chuckle
will	hint	hint
will	hit	hit
will	form	form
will	handle	handle
will	tolerate	tolerate
will	emulate	emulate
will	sprinkle	sprinkle
will	delight	delight
will	hasten	hasten
will	offend	offend
will	delude	delude
will	effect	effect
will	narrate	narrate
will	skipper	skipper
will	misplace	misplace
will	sacrifice	sacrifice
will	analyze	analyze
will	heckle	heckle
will	ripen	ripen
will	marginalize	marginalize
will	swamp	swamp
will	revive	revive
will	migrate	migrate
will	mention	mention
will	belittle	belittle
will	please	please
will	have	have
will	move	move
will	salvage	salvage
will	compile	compile
will	heal	heal
will	storm	storm
will	jack	jack
will	nibble	nibble
will	parachute	parachute
will	pelt	pelt
will	invite	invite
will	save	save
will	resort	resort
will	mete	mete
will	overhear	overhear
will	hang	hang
will	borrow	borrow
will	accuse	accuse
will	survey	survey
will	convey	convey
will	zip	zip
will	hoist	hoist
will	vilify	vilify
will	chew	chew
will	jolt	jolt
will	contract	contract
will	shutter	shutter
will	shiver	shiver
will	blurt	blurt
will	doze	doze
will	castrate	castrate
will	sack	sack
will	intimidate	intimidate
will	evict	evict
will	complement	complement
will	sock	sock
will	string	string
will	discuss	discuss
will	influence	influence
will	bestow	bestow
will	reassert	reassert
will	deduct	deduct
will	desert	desert
will	beef	beef
will	regale	regale
will	coalesce	coalesce
will	drop	drop
will	tour	tour
will	bring	bring
will	fail	fail
will	obtain	obtain
will	lean	lean
will	drown	drown
will	tout	tout
will	scare	scare
will	ogle	ogle
will	decelerate	decelerate
will	disembark	disembark
will	mumble	mumble
will	plague	plague
will	shadow	shadow
will	telephone	telephone
will	besiege	besiege
will	centre	centre
will	slash	slash
will	price	price
will	earmark	earmark
will	scrutinize	scrutinize
will	mourn	mourn
will	liaise	liaise
will	espouse	espouse
will	engender	engender
will	woo	woo
will	reject	reject
will	leap	leap
will	maximize	maximize
will	mute	mute
will	squirt	squirt
will	burglarize	burglarize
will	hijack	hijack
will	rebuke	rebuke
will	lease	lease
will	plough	plough
will	wreak	wreak
will	contrast	contrast
will	reverse	reverse
will	exploit	exploit
will	chop	chop
will	credit	credit
will	man	man
will	reshape	reshape
will	wither	wither
will	tweet	tweet
will	derive	derive
will	circumnavigate	circumnavigate
will	reduce	reduce
will	obstruct	obstruct
will	censor	censor
will	dress	dress
will	collide	collide
will	outstrip	outstrip
will	apprehend	apprehend
will	rehearse	rehearse
will	postpone	postpone
will	blanket	blanket
will	lumber	lumber
will	regain	regain
will	opt	opt
will	raise	raise
will	choose	choose
will	cooperate	cooperate
will	tag	tag
will	disobey	disobey
will	spike	spike
will	govern	govern
will	land	land
will	grimace	grimace
will	foreshadow	foreshadow
will	accrue	accrue
will	socialize	socialize
will	politicize	politicize
will	twitter	twitter
will	reminisce	reminisce
will	boo	boo
will	exit	exit
will	sob	sob
will	visualize	visualize
will	redevelop	redevelop
will	aid	aid
will	flatten	flatten
will	rewire	rewire
will	down	down
will	transmit	transmit
will	pursue	pursue
will	declare	declare
will	blackmail	blackmail
will	shatter	shatter
will	slump	slump
will	function	function
will	proffer	proffer
will	grin	grin
will	subtract	subtract
will	chafe	chafe
will	moderate	moderate
will	guard	guard
will	repair	repair
will	believe	believe
will	crash	crash
will	line	line
will	relate	relate
will	cap	cap
will	echo	echo
will	privatize	privatize
will	expend	expend
will	drizzle	drizzle
will	shunt	shunt
will	mind	mind
will	hate	hate
will	flirt	flirt
will	outplay	outplay
will	glean	glean
will	resurrect	resurrect
will	bulge	bulge
will	molest	molest
will	impregnate	impregnate
will	change	change
will	hamper	hamper
will	establish	establish
will	cease	cease
will	shove	shove
will	seethe	seethe
will	tighten	tighten
will	baffle	baffle
will	resent	resent
will	fasten	fasten
will	paraphrase	paraphrase
will	trample	trample
will	regress	regress
will	suspect	suspect
will	skate	skate
will	dry	dry
will	spook	spook
will	commandeer	commandeer
will	persecute	persecute
will	affix	affix
will	backfire	backfire
will	oscillate	oscillate
will	bloom	bloom
will	purge	purge
will	gain	gain
will	regulate	regulate
will	yank	yank
will	snub	snub
will	faint	faint
will	badger	badger
will	groom	groom
will	dam	dam
will	snort	snort
will	open	open
will	endanger	endanger
will	peer	peer
will	extrapolate	extrapolate
will	brush	brush
will	venture	venture
will	clamp	clamp
will	poach	poach
will	uplift	uplift
will	munch	munch
will	patronize	patronize
will	divulge	divulge
will	refuel	refuel
will	divvy	divvy
will	unionize	unionize
will	do	do
will	happen	happen
will	withdraw	withdraw
will	endow	endow
will	obscure	obscure
will	waft	waft
will	spout	spout
will	dissuade	dissuade
will	pervade	pervade
will	finesse	finesse
will	brandish	brandish
will	sneeze	sneeze
will	hum	hum
will	diverge	diverge
will	deactivate	deactivate
will	conserve	conserve
will	defame	defame
will	moonlight	moonlight
will	acquire	acquire
will	bemoan	bemoan
will	run	run
will	tamper	tamper
will	steal	steal
will	sit	sit
will	structure	structure
will	grumble	grumble
will	march	march
will	imply	imply
will	manufacture	manufacture
will	accept	accept
will	access	access
will	capture	capture
will	renovate	renovate
will	license	license
will	confine	confine
will	haunt	haunt
will	remedy	remedy
will	relive	relive
will	haul	haul
will	construct	construct
will	jump	jump
will	crush	crush
will	exhibit	exhibit
will	hike	hike
will	outlaw	outlaw
will	sweeten	sweeten
will	suppress	suppress
will	stagnate	stagnate
will	falter	falter
will	salute	salute
will	assert	assert
will	net	net
will	remove	remove
will	engage	engage
will	explore	explore
will	remember	remember
will	gather	gather
will	call	call
will	explain	explain
will	generate	generate
will	receive	receive
will	reroute	reroute
will	overstep	overstep
will	reprint	reprint
will	abscond	abscond
will	parry	parry
will	project	project
will	deport	deport
will	botch	botch
will	transcend	transcend
will	harbour	harbour
will	zero	zero
will	coordinate	coordinate
will	require	require
will	reflect	reflect
will	welcome	welcome
will	swim	swim
will	weaken	weaken
will	wail	wail
will	reimburse	reimburse
will	ambush	ambush
will	dole	dole
will	overstay	overstay
will	gripe	gripe
will	smoke	smoke
will	dispense	dispense
will	trumpet	trumpet
will	evacuate	evacuate
will	negotiate	negotiate
will	concern	concern
will	rub	rub
will	scour	scour
will	levy	levy
will	prick	prick
will	pat	pat
will	insinuate	insinuate
will	screw	screw
will	heighten	heighten
will	hold	hold
will	benefit	benefit
will	merge	merge
will	infuriate	infuriate
will	minimize	minimize
will	stare	stare
will	forestall	forestall
will	snip	snip
will	gouge	gouge
will	bequeath	bequeath
will	export	export
will	rectify	rectify
will	offset	offset
will	attack	attack
will	smell	smell
will	flush	flush
will	inaugurate	inaugurate
will	accede	accede
will	outdo	outdo
will	police	police
will	overreact	overreact
will	undermine	undermine
will	unnerve	unnerve
will	interrogate	interrogate
will	resell	resell
will	confer	confer
will	redouble	redouble
will	ooze	ooze
will	overdose	overdose
will	channel	channel
will	grow	grow
will	cheer	cheer
will	question	question
will	budge	budge
will	drift	drift
will	incarcerate	incarcerate
will	bicker	bicker
will	scrabble	scrabble
will	infer	infer
will	bunk	bunk
will	sniff	sniff
will	marshal	marshal
will	tender	tender
will	scorn	scorn
will	reach	reach
will	design	design
will	strike	strike
will	expire	expire
will	abandon	abandon
will	stack	stack
will	rejoice	rejoice
will	fabricate	fabricate
will	recuperate	recuperate
will	advocate	advocate
will	supersede	supersede
will	presume	presume
will	erupt	erupt
will	strive	strive
will	shape	shape
will	unite	unite
will	compete	compete
will	check	check
will	devour	devour
will	electrify	electrify
will	deliberate	deliberate
will	impair	impair
will	commiserate	commiserate
will	sidle	sidle
will	propagate	propagate
will	flutter	flutter
will	skid	skid
will	prescribe	prescribe
will	skim	skim
will	dovetail	dovetail
will	unmask	unmask
will	reconstruct	reconstruct
will	proceed	proceed
will	fine	fine
will	warn	warn
will	relent	relent
will	commemorate	commemorate
will	outweigh	outweigh
will	sicken	sicken
will	airlift	airlift
will	liquidate	liquidate
will	pluck	pluck
will	train	train
will	enrich	enrich
will	bowl	bowl
will	disagree	disagree
will	twist	twist
will	spar	spar
will	surf	surf
will	mutilate	mutilate
will	buffer	buffer
will	freshen	freshen
will	evade	evade
will	tuck	tuck
will	fix	fix
will	disclose	disclose
will	draft	draft
will	muster	muster
will	broach	broach
will	extort	extort
will	embroil	embroil
will	bow	bow
will	magnify	magnify
will	succumb	succumb
will	wax	wax
will	concur	concur
will	eviscerate	eviscerate
will	evoke	evoke
will	replace	replace
will	paste	paste
will	remind	remind
will	dot	dot
will	weave	weave
will	overshadow	overshadow
will	shield	shield
will	flash	flash
will	overthrow	overthrow
will	huddle	huddle
will	overrule	overrule
will	favour	favour
will	denigrate	denigrate
will	dredge	dredge
will	record	record
will	sap	sap
will	guess	guess
will	exercise	exercise
will	cure	cure
will	lunge	lunge
will	reorganize	reorganize
will	exonerate	exonerate
will	defrost	defrost
will	brighten	brighten
will	conflict	conflict
will	downplay	downplay
will	embarrass	embarrass
will	lead	lead
will	disrupt	disrupt
will	thump	thump
will	possess	possess
will	underplay	underplay
will	oppose	oppose
will	deflect	deflect
will	exemplify	exemplify
will	root	root
will	creep	creep
will	masturbate	masturbate
will	perform	perform
will	struggle	struggle
will	monopolize	monopolize
will	serenade	serenade
will	ferment	ferment
will	ascribe	ascribe
will	subdue	subdue
will	buffet	buffet
will	shelve	shelve
will	slice	slice
will	wring	wring
will	refute	refute
will	conspire	conspire
will	navigate	navigate
will	honour	honour
will	falsify	falsify
will	eschew	eschew
will	reconstitute	reconstitute
will	joke	joke
will	amass	amass
will	back	back
will	debunk	debunk
will	hope	hope
will	encourage	encourage
will	rent	rent
will	improvise	improvise
will	update	update
will	detach	detach
will	arise	arise
will	concede	concede
will	allude	allude
will	rake	rake
will	fund	fund
will	accomplish	accomplish
will	assure	assure
will	lift	lift
will	disqualify	disqualify
will	memorize	memorize
will	trivialize	trivialize
will	rouse	rouse
will	clean	clean
will	reply	reply
will	work	work
will	don	don
will	attract	attract
will	relaunch	relaunch
will	install	install
will	hustle	hustle
will	complete	complete
will	spawn	spawn
will	play	play
will	bail	bail
will	rethink	rethink
will	monetize	monetize
will	nix	nix
will	grit	grit
will	revolve	revolve
will	explode	explode
will	lodge	lodge
will	divert	divert
will	extradite	extradite
will	reaffirm	reaffirm
will	commission	commission
will	suck	suck
will	flounder	flounder
will	firm	firm
will	duplicate	duplicate
will	suffocate	suffocate
will	fixate	fixate
will	stimulate	stimulate
will	attach	attach
will	used	used
will	launch	launch
will	characterize	characterize
will	gear	gear
will	stain	stain
will	screech	screech
will	discontinue	discontinue
will	launder	launder
will	trace	trace
will	accelerate	accelerate
will	cast	cast
will	rebuild	rebuild
will	resolve	resolve
will	edge	edge
will	scramble	scramble
will	reignite	reignite
will	refinance	refinance
will	feel	feel
will	push	push
will	reserve	reserve
will	deplore	deplore
will	plead	plead
will	feature	feature
will	admit	admit
will	grant	grant
will	descend	descend
will	risk	risk
will	tend	tend
will	imitate	imitate
will	enhance	enhance
will	disrespect	disrespect
will	cough	cough
will	deceive	deceive
will	accredit	accredit
will	sanitize	sanitize
will	reexamine	reexamine
will	curtail	curtail
will	wrangle	wrangle
will	vanish	vanish
will	strengthen	strengthen
will	punish	punish
will	languish	languish
will	beat	beat
will	recruit	recruit
will	allege	allege
will	prevail	prevail
will	harvest	harvest
will	level	level
will	recall	recall
will	brace	brace
will	react	react
will	insulate	insulate
will	dim	dim
will	hew	hew
will	lampoon	lampoon
will	slit	slit
will	reshuffle	reshuffle
will	overplay	overplay
will	scold	scold
will	reschedule	reschedule
will	terminate	terminate
will	delete	delete
will	disable	disable
will	jet	jet
will	tarnish	tarnish
will	depict	depict
will	isolate	isolate
will	ridicule	ridicule
will	defraud	defraud
will	oust	oust
will	disprove	disprove
will	circumvent	circumvent
will	glue	glue
will	milk	milk
will	devote	devote
will	rehabilitate	rehabilitate
will	advise	advise
will	order	order
will	impact	impact
will	disown	disown
will	resurface	resurface
will	idolize	idolize
will	stigmatize	stigmatize
will	frown	frown
will	grouse	grouse
will	annihilate	annihilate
will	mate	mate
will	scribble	scribble
will	ventilate	ventilate
will	defy	defy
will	trash	trash
will	drape	drape
will	catapult	catapult
will	mow	mow
will	ration	ration
will	hide	hide
will	imprison	imprison
will	maneuver	maneuver
will	rearm	rearm
will	lob	lob
will	entice	entice
will	dream	dream
will	overlook	overlook
will	promise	promise
will	equate	equate
will	float	float
will	caution	caution
will	insist	insist
will	medicate	medicate
will	recapture	recapture
will	restate	restate
will	coerce	coerce
will	signal	signal
will	designate	designate
will	exhale	exhale
will	swat	swat
will	snatch	snatch
will	masquerade	masquerade
will	splash	splash
will	wrack	wrack
will	perpetrate	perpetrate
will	upend	upend
will	invent	invent
will	theorize	theorize
will	fault	fault
will	snuggle	snuggle
will	jerk	jerk
will	swivel	swivel
will	excel	excel
will	bounce	bounce
will	cannibalize	cannibalize
will	shut	shut
will	contaminate	contaminate
will	disseminate	disseminate
will	gravitate	gravitate
will	grieve	grieve
will	teem	teem
will	key	key
will	note	note
will	retreat	retreat
will	modulate	modulate
will	disapprove	disapprove
will	disappear	disappear
will	travel	travel
will	inquire	inquire
will	frustrate	frustrate
will	stress	stress
will	excuse	excuse
will	refine	refine
will	freak	freak
will	repress	repress
will	mingle	mingle
will	evaluate	evaluate
will	guide	guide
will	mediate	mediate
will	sponsor	sponsor
will	split	split
will	whisk	whisk
will	wow	wow
will	regurgitate	regurgitate
will	sling	sling
will	misjudge	misjudge
will	sharpen	sharpen
will	further	further
will	opine	opine
will	gorge	gorge
will	tip	tip
will	zigzag	zigzag
will	make	make
will	fall	fall
will	arrive	arrive
will	lack	lack
will	spy	spy
will	boast	boast
will	achieve	achieve
will	sail	sail
will	subsidize	subsidize
will	impede	impede
will	mail	mail
will	lock	lock
will	comb	comb
will	recreate	recreate
will	tick	tick
will	foster	foster
will	dither	dither
will	shy	shy
will	unplug	unplug
will	parse	parse
will	oversimplify	oversimplify
will	stoop	stoop
will	tidy	tidy
will	border	border
will	mature	mature
will	deprive	deprive
will	shimmy	shimmy
will	preside	preside
will	subside	subside
will	betray	betray
will	rekindle	rekindle
will	embody	embody
will	trump	trump
will	sublet	sublet
will	enable	enable
will	dance	dance
will	control	control
will	alert	alert
will	pounce	pounce
will	bruise	bruise
will	admonish	admonish
will	prise	prise
will	blur	blur
will	categorize	categorize
will	gyrate	gyrate
will	gulp	gulp
will	trail	trail
will	nominate	nominate
will	forgive	forgive
will	cull	cull
will	reciprocate	reciprocate
will	sequester	sequester
will	cram	cram
will	clobber	clobber
will	illuminate	illuminate
will	erase	erase
will	invalidate	invalidate
will	etch	etch
will	stick	stick
will	unravel	unravel
will	succeed	succeed
will	grasp	grasp
will	forbid	forbid
will	veer	veer
will	hook	hook
will	reestablish	reestablish
will	pedal	pedal
will	team	team
will	clad	clad
will	creak	creak
will	kneel	kneel
will	splatter	splatter
will	choke	choke
will	assemble	assemble
will	mean	mean
will	flow	flow
will	appeal	appeal
will	dictate	dictate
will	detain	detain
will	suit	suit
will	enroll	enroll
will	fly	fly
will	commit	commit
will	groan	groan
will	precede	precede
will	wink	wink
will	radiate	radiate
will	proclaim	proclaim
will	weed	weed
will	wiggle	wiggle
will	goad	goad
will	ascend	ascend
will	twinkle	twinkle
will	outlive	outlive
will	quell	quell
will	shoot	shoot
will	pose	pose
will	deviate	deviate
will	harass	harass
will	counter	counter
will	clear	clear
will	unfold	unfold
will	encompass	encompass
will	decipher	decipher
will	blunder	blunder
will	prosper	prosper
will	dangle	dangle
will	shake	shake
will	malfunction	malfunction
will	interview	interview
will	quantify	quantify
will	buck	buck
will	renew	renew
will	disenfranchise	disenfranchise
will	disallow	disallow
will	gleam	gleam
will	fling	fling
will	urge	urge
will	herald	herald
will	break	break
will	copy	copy
will	bode	bode
will	yawn	yawn
will	mislead	mislead
will	step	step
will	withhold	withhold
will	saunter	saunter
will	snuff	snuff
will	decode	decode
will	grope	grope
will	attain	attain
will	belie	belie
will	liberalize	liberalize
will	chirp	chirp
will	vouch	vouch
will	import	import
will	injure	injure
will	exacerbate	exacerbate
will	diversify	diversify
will	stock	stock
will	muddy	muddy
will	unpack	unpack
will	incubate	incubate
will	mesh	mesh
will	brim	brim
will	hive	hive
will	caress	caress
will	jeopardize	jeopardize
will	bob	bob
will	cede	cede
will	sustain	sustain
will	chat	chat
will	whistle	whistle
will	assail	assail
will	rely	rely
will	inspect	inspect
will	portray	portray
will	motivate	motivate
will	refuse	refuse
will	discount	discount
will	transport	transport
will	underpin	underpin
will	dash	dash
will	usurp	usurp
will	formalize	formalize
will	stem	stem
will	scream	scream
will	personalize	personalize
will	supplant	supplant
will	contradict	contradict
will	ask	ask
will	approach	approach
will	solve	solve
will	auction	auction
will	wish	wish
