phrase	label
will own	1
will owned	0
will owning	0
will affect	1
will affected	0
will affecting	0
will suggest	1
will suggested	0
will suggesting	0
will retrieve	1
will retrieved	0
will retrieving	0
will enlist	1
will enlisted	0
will enlisting	0
will cooperate	1
will cooperated	0
will cooperating	0
will coordinate	1
will coordinated	0
will coordinating	0
will provide	1
will providing	0
will warm	1
will warmed	0
will warming	0
will send	1
will sent	0
will sending	0
will stand	1
will stood	0
will standing	0
will listen	1
will listened	0
will listening	0
will operate	1
will operated	0
will operating	0
will open	1
will opened	0
will opening	0
will debate	1
will debated	0
will debating	0
will visit	1
will visited	0
will visiting	0
will crowd	1
will crowded	0
will crowding	0
will go	1
will gone	0
will fight	1
will fought	0
will fighting	0
will spreading	0
will place	1
will placed	0
will placing	0
will write	1
will writing	0
will apologize	1
will apologized	0
will apologizing	0
will embrace	1
will embraced	0
will embracing	0
will steal	1
will stolen	0
will stealing	0
will try	1
will tried	0
will prompt	1
will prompted	0
will prompting	0
will end	1
will ended	0
will ending	0
will present	1
will presenting	0
will post	1
will posted	0
will posting	0
will feel	1
will felt	0
will feeling	0
will conclude	1
will concluded	0
will concluding	0
will charge	1
will charged	0
will charging	0
will happen	1
will happened	0
will happening	0
will hear	1
will heard	0
will hearing	0
will schedule	1
will scheduled	0
will scheduling	0
will discuss	1
will discussed	0
will discussing	0
will participate	1
will participated	0
will participating	0
will access	1
will accessed	0
will accessing	0
will translate	1
will translated	0
will translating	0
will grow	1
will grown	0
will growing	0
will compare	1
will compared	0
will comparing	0
will turn	1
will turned	0
will turning	0
will investigate	1
will investigated	0
will investigating	0
will enjoy	1
will enjoyed	0
will enjoying	0
will improve	1
will improved	0
will improving	0
will deal	1
will dealt	0
will dealing	0
will deliver	1
will delivered	0
will delivering	0
will outline	1
will outlined	0
will outlining	0
will splitting	0
will bring	1
will brought	0
will bringing	0
will don	1
will donned	0
will donning	0
will cause	1
will caused	0
will causing	0
will foresee	1
will foreseen	0
will foreseeing	0
will predict	1
will predicted	0
will predicting	0
will rely	1
will relied	0
will relying	0
will base	1
will basing	0
will implement	1
will implemented	0
will implementing	0
will resign	1
will resigned	0
will resigning	0
will repeat	1
will repeated	0
will repeating	0
will depend	1
will depended	0
will depending	0
will return	1
will returned	0
will returning	0
will attend	1
will attended	0
will attending	0
will regard	1
will regarded	0
will regarding	0
will react	1
will reacted	0
will reacting	0
will create	1
will creating	0
will average	1
will averaged	0
will averaging	0
will sit	1
will sat	0
will sitting	0
will lift	1
will lifted	0
will lifting	0
will roll	1
will rolled	0
will rolling	0
will exaggerate	1
will exaggerated	0
will exaggerating	0
will warn	1
will warned	0
will warning	0
will face	1
will faced	0
will facing	0
will hurting	0
will require	1
will requiring	0
will capture	1
will captured	0
will capturing	0
will force	1
will forced	0
will forcing	0
will flee	1
will fled	0
will fleeing	0
will file	1
will filing	0
will dismiss	1
will dismissed	0
will dismissing	0
will believe	1
will believed	0
will believing	0
will limit	1
will limited	0
will limiting	0
will assume	1
will assumed	0
will assuming	0
will announce	1
will announcing	0
will restore	1
will restored	0
will restoring	0
will change	1
will changed	0
will changing	0
will hitting	0
will pinch	1
will pinched	0
will pinching	0
will lead	1
will leading	0
will endure	1
will endured	0
will enduring	0
will import	1
will imported	0
will importing	0
will catch	1
will caught	0
will catching	0
will crash	1
will crashed	0
will crashing	0
will defeat	1
will defeated	0
will defeating	0
will die	1
will died	0
will dying	0
will shape	1
will shaped	0
will shaping	0
will accompany	1
will accompanied	0
will accompanying	0
will assist	1
will assisted	0
will assisting	0
will avoid	1
will avoided	0
will avoiding	0
will rejoin	1
will rejoined	0
will rejoining	0
will note	1
will noted	0
will noting	0
will double	1
will doubled	0
will doubling	0
will project	1
will projected	0
will projecting	0
will maul	1
will mauled	0
will mauling	0
will putting	0
will emerge	1
will emerged	0
will emerging	0
will attract	1
will attracted	0
will attracting	0
will convict	1
will convicted	0
will convicting	0
will air	1
will aired	0
will airing	0
will reading	0
will reach	1
will reached	0
will reaching	0
will hope	1
will hoped	0
will hoping	0
will convince	1
will convinced	0
will convincing	0
will centre	1
will centred	0
will centring	0
will complete	1
will completed	0
will completing	0
will produce	1
will produced	0
will producing	0
will spawn	1
will spawned	0
will spawning	0
will chase	1
will chased	0
will chasing	0
will exchange	1
will exchanged	0
will exchanging	0
will kill	1
will killed	0
will killing	0
will equate	1
will equated	0
will equating	0
will trade	1
will traded	0
will trading	0
will hold	1
will holding	0
will dump	1
will dumped	0
will dumping	0
will look	1
will looked	0
will offload	1
will offloaded	0
will offloading	0
will pursue	1
will pursued	0
will pursuing	0
will demand	1
will demanded	0
will demanding	0
will sign	1
will signing	0
will fail	1
will failed	0
will failing	0
will cutting	0
will assemble	1
will assembled	0
will assembling	0
will opt	1
will opted	0
will opting	0
will push	1
will pushed	0
will pushing	0
will pass	1
will passed	0
will passing	0
will regulate	1
will regulated	0
will regulating	0
will drive	1
will driven	0
will driving	0
will exclude	1
will excluded	0
will excluding	0
will agree	1
will agreed	0
will agreeing	0
will restrict	1
will restricted	0
will restricting	0
will impose	1
will imposed	0
will imposing	0
will dub	1
will dubbed	0
will dubbing	0
will span	1
will spanned	0
will spanning	0
will decide	1
will deciding	0
will vote	1
will voted	0
will voting	0
will settle	1
will settled	0
will settling	0
will threaten	1
will threatened	0
will threatening	0
will begin	1
will begun	0
will beginning	0
will repay	1
will repaid	0
will repaying	0
will total	1
will totalled	0
will totalling	0
will pelt	1
will pelted	0
will pelting	0
will surge	1
will surged	0
will surging	0
will book	1
will booked	0
will booking	0
will deny	1
will denied	0
will denying	0
will miss	1
will missed	0
will missing	0
will feature	1
will featured	0
will featuring	0
will break	1
will broken	0
will breaking	0
will secure	1
will secured	0
will securing	0
will please	1
will pleased	0
will pleasing	0
will costing	0
will arrive	1
will arrived	0
will arriving	0
will cheer	1
will cheered	0
will cheering	0
will lend	1
will lent	0
will lending	0
will manage	1
will managed	0
will managing	0
will intend	1
will intended	0
will intending	0
will determine	1
will determined	0
will determining	0
will replace	1
will replaced	0
will replacing	0
will roam	1
will roamed	0
will roaming	0
will earn	1
will earned	0
will earning	0
will plan	1
will planned	0
will planning	0
will admit	1
will admitted	0
will admitting	0
will refrain	1
will refrained	0
will refraining	0
will tell	1
will telling	0
will think	1
will thought	0
will thinking	0
will appear	1
will appeared	0
will appearing	0
will contradict	1
will contradicted	0
will contradicting	0
will wash	1
will washed	0
will washing	0
will criticize	1
will criticized	0
will criticizing	0
will ignore	1
will ignored	0
will ignoring	0
will await	1
will awaited	0
will awaiting	0
will pester	1
will pestered	0
will pestering	0
will increase	1
will increased	0
will prepare	1
will prepared	0
will preparing	0
will relent	1
will relented	0
will relenting	0
will form	1
will formed	0
will forming	0
will disable	1
will disabled	0
will disabling	0
will forecast	1
will forecasted	0
will forecasting	0
will marry	1
will married	0
will marrying	0
will combine	1
will combined	0
will combining	0
will sponsor	1
will sponsored	0
will sponsoring	0
will tour	1
will toured	0
will touring	0
will block	1
will blocked	0
will blocking	0
will deploy	1
will deployed	0
will deploying	0
will unite	1
will uniting	0
will gain	1
will gained	0
will gaining	0
will using	0
will hate	1
will hated	0
will hating	0
will reign	1
will reigned	0
will reigning	0
will recycle	1
will recycled	0
will recycling	0
will remember	1
will remembered	0
will remembering	0
will watch	1
will watched	0
will watching	0
will disrupt	1
will disrupted	0
will disrupting	0
will clash	1
will clashed	0
will clashing	0
will tear	1
will torn	0
will tearing	0
will arrest	1
will arrested	0
will arresting	0
will recruit	1
will recruited	0
will recruiting	0
will retain	1
will retained	0
will retaining	0
will bounce	1
will bounced	0
will bouncing	0
will founding	0
will tamper	1
will tampered	0
will tampering	0
will honor	1
will honored	0
will honoring	0
will design	1
will designed	0
will designing	0
will bury	1
will buried	0
will burying	0
will head	1
will headed	0
will heading	0
will draw	1
will drawing	0
will represent	1
will represented	0
will representing	0
will describe	1
will described	0
will describing	0
will receive	1
will receiving	0
will guess	1
will guessed	0
will guessing	0
will consider	1
will considered	0
will considering	0
will enable	1
will enabled	0
will enabling	0
will repackage	1
will repackaged	0
will repackaging	0
will adopt	1
will adopted	0
will adopting	0
will specialize	1
will specialized	0
will specializing	0
will line	1
will lined	0
will lining	0
will recognize	1
will recognized	0
will recognizing	0
will select	1
will selected	0
will selecting	0
will retire	1
will retired	0
will retiring	0
will swing	1
will swung	0
will swinging	0
will destroy	1
will destroyed	0
will destroying	0
will injure	1
will injured	0
will injuring	0
will ask	1
will asked	0
will asking	0
will approve	1
will approved	0
will approving	0
will extend	1
will extended	0
will extending	0
will match	1
will matched	0
will matching	0
will penetrate	1
will penetrated	0
will penetrating	0
will urge	1
will urged	0
will urging	0
will mark	1
will marked	0
will marking	0
will appeal	1
will appealed	0
will appealing	0
will condemn	1
will condemned	0
will condemning	0
will cancel	1
will cancelled	0
will cancelling	0
will dictate	1
will dictated	0
will dictating	0
will panic	1
will panicked	0
will panicking	0
will teach	1
will taught	0
will teaching	0
will stir	1
will stirred	0
will stirring	0
will cook	1
will cooked	0
will cooking	0
will remove	1
will removed	0
will removing	0
will score	1
will scored	0
will scoring	0
will submit	1
will submitted	0
will submitting	0
will answer	1
will answered	0
will answering	0
will entitle	1
will entitled	0
will entitling	0
will contribute	1
will contributed	0
will contributing	0
will hand	1
will handed	0
will handing	0
will strike	1
will struck	0
will striking	0
will suspect	1
will suspected	0
will suspecting	0
will endanger	1
will endangered	0
will endangering	0
will like	1
will liked	0
will liking	0
will stick	1
will stuck	0
will sticking	0
will terminate	1
will terminated	0
will terminating	0
will find	1
will finding	0
will smack	1
will smacked	0
will smacking	0
will single	1
will singled	0
will singling	0
will cash	1
will cashed	0
will cashing	0
will order	1
will ordered	0
will ordering	0
will procure	1
will procured	0
will procuring	0
will distribute	1
will distributed	0
will distributing	0
will offsetting	0
will indicate	1
will indicated	0
will indicating	0
will wave	1
will waved	0
will waving	0
will handle	1
will handled	0
will handling	0
will reference	1
will referenced	0
will referencing	0
will rave	1
will raved	0
will raving	0
will rearrange	1
will rearranged	0
will rearranging	0
will dodge	1
will dodged	0
will dodging	0
will perform	1
will performed	0
will performing	0
will walk	1
will walked	0
will walking	0
will border	1
will bordered	0
will bordering	0
will slash	1
will slashed	0
will slashing	0
will arrange	1
will arranged	0
will arranging	0
will love	1
will loved	0
will loving	0
will crack	1
will cracked	0
will cracking	0
will descend	1
will descended	0
will descending	0
will idle	1
will idled	0
will idling	0
will result	1
will resulted	0
will resulting	0
will pack	1
will packed	0
will packing	0
will adjust	1
will adjusted	0
will adjusting	0
will relate	1
will related	0
will relating	0
will define	1
will defined	0
will defining	0
will decrease	1
will decreased	0
will decreasing	0
will obtain	1
will obtained	0
will obtaining	0
will top	1
will topped	0
will topping	0
will boost	1
will boosted	0
will boosting	0
will risk	1
will risked	0
will risking	0
will testify	1
will testified	0
will testifying	0
will mandate	1
will mandated	0
will mandating	0
will consume	1
will consumed	0
will consuming	0
will got	1
will gotten	0
will farm	1
will farmed	0
will farming	0
will expire	1
will expired	0
will expiring	0
will smash	1
will smashed	0
will smashing	0
will protect	1
will protected	0
will protecting	0
will attack	1
will attacked	0
will attacking	0
will invade	1
will invaded	0
will invading	0
will resist	1
will resisted	0
will resisting	0
will observe	1
will observed	0
will observing	0
will initiate	1
will initiated	0
will initiating	0
will undergo	1
will undergone	0
will undergoing	0
will save	1
will saved	0
will saving	0
will stuff	1
will stuffed	0
will stuffing	0
will accuse	1
will accused	0
will accusing	0
will search	1
will searched	0
will searching	0
will dance	1
will danced	0
will dancing	0
will replicate	1
will replicated	0
will replicating	0
will frustrate	1
will frustrated	0
will frustrating	0
will unravel	1
will unravelled	0
will unravelling	0
will reject	1
will rejected	0
will rejecting	0
will emigrate	1
will emigrated	0
will emigrating	0
will master	1
will mastered	0
will mastering	0
will benefit	1
will benefited	0
will benefiting	0
will discover	1
will discovered	0
will discovering	0
will suit	1
will suited	0
will suiting	0
will celebrate	1
will celebrated	0
will celebrating	0
will engage	1
will engaged	0
will engaging	0
will dominate	1
will dominated	0
will dominating	0
will assess	1
will assessed	0
will assessing	0
will shower	1
will showered	0
will showering	0
will vault	1
will vaulted	0
will vaulting	0
will stress	1
will stressed	0
will stressing	0
will respond	1
will responded	0
will responding	0
will seek	1
will sought	0
will seeking	0
will disappear	1
will disappeared	0
will disappearing	0
will wait	1
will waited	0
will waiting	0
will wonder	1
will wondered	0
will wondering	0
will map	1
will mapped	0
will mapping	0
will crush	1
will crushed	0
will crushing	0
will brave	1
will braved	0
will braving	0
will thwart	1
will thwarted	0
will thwarting	0
will monitor	1
will monitored	0
will monitoring	0
will ban	1
will register	1
will registered	0
will registering	0
will converse	1
will conversed	0
will conversing	0
will attempt	1
will attempted	0
will attempting	0
will rage	1
will raged	0
will raging	0
will solicit	1
will solicited	0
will soliciting	0
will lack	1
will lacked	0
will lacking	0
will aim	1
will aimed	0
will aiming	0
will approach	1
will approached	0
will approaching	0
will graduate	1
will graduated	0
will graduating	0
will prohibit	1
will prohibited	0
will prohibiting	0
will throw	1
will thrown	0
will throwing	0
will calculate	1
will calculated	0
will calculating	0
will loosen	1
will loosened	0
will loosening	0
will letting	0
will rock	1
will rocked	0
will rocking	0
will treat	1
will treated	0
will treating	0
will exhibit	1
will exhibited	0
will exhibiting	0
will revive	1
will revived	0
will reviving	0
will welcome	1
will welcomed	0
will welcoming	0
will speak	1
will spoken	0
will speaking	0
will switch	1
will switched	0
will switching	0
will surface	1
will surfacing	0
will erupt	1
will erupted	0
will erupting	0
will act	1
will acted	0
will acting	0
will violate	1
will violated	0
will violating	0
will convert	1
will converted	0
will converting	0
will assassinate	1
will assassinated	0
will assassinating	0
will collapse	1
will collapsed	0
will collapsing	0
will cover	1
will covered	0
will covering	0
will blame	1
will blamed	0
will blaming	0
will cope	1
will coped	0
will coping	0
will fly	1
will flown	0
will flying	0
will allege	1
will alleged	0
will alleging	0
will kiss	1
will kissed	0
will kissing	0
will rent	1
will rented	0
will renting	0
will glide	1
will glided	0
will gliding	0
will preoccupy	1
will preoccupied	0
will preoccupying	0
will cap	1
will capped	0
will capping	0
will fulfill	1
will fulfilled	0
will fulfilling	0
will care	1
will cared	0
will caring	0
will hide	1
will hidden	0
will hiding	0
will rest	1
will rested	0
will resting	0
will enter	1
will entered	0
will entering	0
will intervene	1
will intervened	0
will intervening	0
will secrete	1
will secreted	0
will secreting	0
will lower	1
will lowered	0
will lowering	0
will hire	1
will hired	0
will hiring	0
will test	1
will testing	0
will sing	1
will sung	0
will singing	0
will creep	1
will crept	0
will creeping	0
will squeak	1
will squeaked	0
will squeaking	0
will rebuild	1
will rebuilt	0
will rebuilding	0
will fill	1
will filled	0
will filling	0
will shoot	1
will shot	0
will shooting	0
will latch	1
will latched	0
will latching	0
will setting	0
will drip	1
will dripped	0
will dripping	0
will waste	1
will wasted	0
will wasting	0
will train	1
will trained	0
will training	0
will characterize	1
will characterized	0
will characterizing	0
will sleep	1
will slept	0
will sleeping	0
will refute	1
will refuted	0
will refuting	0
will publish	1
will publishing	0
will evacuate	1
will evacuated	0
will evacuating	0
will name	1
will appoint	1
will appointed	0
will appointing	0
will click	1
will clicked	0
will clicking	0
will qualify	1
will qualified	0
will qualifying	0
will avenge	1
will avenged	0
will avenging	0
will regret	1
will regretted	0
will regretting	0
will expose	1
will exposed	0
will exposing	0
will maim	1
will maimed	0
will maiming	0
will aid	1
will aided	0
will aiding	0
will abet	1
will abetted	0
will abetting	0
will divide	1
will divided	0
will dividing	0
will refer	1
will referred	0
will referring	0
will unnerve	1
will unnerved	0
will unnerving	0
will contain	1
will contained	0
will containing	0
will enact	1
will enacted	0
will enacting	0
will prevent	1
will prevented	0
will preventing	0
will fuel	1
will fuelled	0
will fuelling	0
will surround	1
will surrounded	0
will surrounding	0
will invest	1
will invested	0
will investing	0
will fear	1
will feared	0
will fearing	0
will originate	1
will originated	0
will originating	0
will shelve	1
will shelved	0
will shelving	0
will seize	1
will seized	0
will seizing	0
will pour	1
will poured	0
will pouring	0
will struggle	1
will struggled	0
will struggling	0
will damage	1
will damaged	0
will damaging	0
will adapt	1
will adapted	0
will adapting	0
will assign	1
will assigned	0
will assigning	0
will loom	1
will loomed	0
will looming	0
will tend	1
will tended	0
will tending	0
will enrich	1
will enriched	0
will enriching	0
will paste	1
will pasted	0
will pasting	0
will repudiate	1
will repudiated	0
will repudiating	0
will erode	1
will eroded	0
will eroding	0
will track	1
will tracked	0
will tracking	0
will liken	1
will likened	0
will likening	0
will host	1
will hosted	0
will hosting	0
will climb	1
will climbed	0
will climbing	0
will jump	1
will jumped	0
will jumping	0
will allude	1
will alluded	0
will alluding	0
will console	1
will consoled	0
will consoling	0
will cool	1
will cooled	0
will cooling	0
will pin	1
will pinned	0
will pinning	0
will experience	1
will experienced	0
will experiencing	0
will eat	1
will eaten	0
will eating	0
will conduct	1
will conducted	0
will conducting	0
will suffer	1
will suffered	0
will suffering	0
will adjourn	1
will adjourned	0
will adjourning	0
will mail	1
will mailed	0
will mailing	0
will wail	1
will wailed	0
will wailing	0
will thump	1
will thumped	0
will thumping	0
will range	1
will ranged	0
will ranging	0
will relieve	1
will relieved	0
will relieving	0
will ruin	1
will ruined	0
will ruining	0
will mislead	1
will misled	0
will misleading	0
will imply	1
will implied	0
will implying	0
will burn	1
will burnt	0
will burning	0
will solve	1
will solved	0
will solving	0
will date	1
will dating	0
will bursting	0
will disperse	1
will dispersed	0
will dispersing	0
will thrill	1
will thrilled	0
will thrilling	0
will lie	1
will lied	0
will lying	0
will mention	1
will mentioned	0
will mentioning	0
will portray	1
will portrayed	0
will portraying	0
will mount	1
will mounted	0
will mounting	0
will execute	1
will executed	0
will executing	0
will consult	1
will consulted	0
will consulting	0
will shutting	0
will confront	1
will confronted	0
will confronting	0
will complain	1
will complained	0
will complaining	0
will resolve	1
will resolved	0
will resolving	0
will float	1
will floated	0
will floating	0
will orbit	1
will orbited	0
will orbiting	0
will account	1
will accounted	0
will accounting	0
will withdraw	1
will withdrawn	0
will withdrawing	0
will value	1
will valued	0
will valuing	0
will revise	1
will revised	0
will revising	0
will joke	1
will joked	0
will joking	0
will clamber	1
will clambered	0
will clambering	0
will muster	1
will mustered	0
will mustering	0
will sift	1
will sifted	0
will sifting	0
will strengthen	1
will strengthened	0
will strengthening	0
will facilitate	1
will facilitated	0
will facilitating	0
will point	1
will pointed	0
will pointing	0
will kick	1
will kicked	0
will kicking	0
will shake	1
will shaken	0
will shaking	0
will step	1
will stepped	0
will stepping	0
will sound	1
will sounded	0
will sounding	0
will propose	1
will proposed	0
will proposing	0
will flick	1
will flicked	0
will flicking	0
will auction	1
will auctioned	0
will auctioning	0
will edge	1
will edged	0
will edging	0
will slip	1
will slipped	0
will slipping	0
will last	1
will lasted	0
will lasting	0
will mature	1
will matured	0
will maturing	0
will appreciate	1
will appreciated	0
will appreciating	0
will bar	1
will barred	0
will barring	0
will widen	1
will widened	0
will widening	0
will yield	1
will yielded	0
will yielding	0
will censor	1
will censored	0
will censoring	0
will incite	1
will incited	0
will inciting	0
will bail	1
will bailed	0
will bailing	0
will hound	1
will hounded	0
will hounding	0
will interpret	1
will interpreted	0
will interpreting	0
will forge	1
will forged	0
will forging	0
will promote	1
will promoted	0
will promoting	0
will belittle	1
will belittled	0
will belittling	0
will remark	1
will remarked	0
will remarking	0
will deport	1
will deported	0
will deporting	0
will free	1
will freed	0
will freeing	0
will knock	1
will knocked	0
will knocking	0
will stretch	1
will stretched	0
will stretching	0
will malfunction	1
will malfunctioned	0
will malfunctioning	0
will acknowledge	1
will acknowledged	0
will acknowledging	0
will dress	1
will dressed	0
will dressing	0
will caution	1
will cautioned	0
will cautioning	0
will dig	1
will dug	0
will digging	0
will dispatch	1
will dispatched	0
will dispatching	0
will recall	1
will recalled	0
will recalling	0
will hang	1
will hung	0
will hanging	0
will shout	1
will shouted	0
will shouting	0
will unveil	1
will unveiled	0
will unveiling	0
will peak	1
will peaked	0
will peaking	0
will rush	1
will rushed	0
will rushing	0
will stoke	1
will stoked	0
will stoking	0
will intensify	1
will intensified	0
will intensifying	0
will defend	1
will defended	0
will defending	0
will reserve	1
will reserved	0
will reserving	0
will exercise	1
will exercised	0
will exercising	0
will awaken	1
will awakened	0
will awakening	0
will rob	1
will robbed	0
will robbing	0
will navigate	1
will navigated	0
will navigating	0
will hamper	1
will hampered	0
will hampering	0
will expand	1
will expanded	0
will expanding	0
will connect	1
will connected	0
will connecting	0
will volunteer	1
will volunteered	0
will volunteering	0
will sacrifice	1
will sacrificed	0
will sacrificing	0
will scramble	1
will scrambled	0
will scrambling	0
will rescue	1
will rescued	0
will rescuing	0
will nick	1
will nicked	0
will nicking	0
will record	1
will recorded	0
will recording	0
will sack	1
will sacked	0
will sacking	0
will preserve	1
will preserved	0
will preserving	0
will privatize	1
will privatized	0
will privatizing	0
will blast	1
will blasted	0
will blasting	0
will learn	1
will learnt	0
will learning	0
will challenge	1
will challenged	0
will challenging	0
will compound	1
will compounded	0
will compounding	0
will rally	1
will rallied	0
will rallying	0
will explore	1
will explored	0
will exploring	0
will relaunch	1
will relaunched	0
will relaunching	0
will refuse	1
will refused	0
will refusing	0
will narrow	1
will narrowed	0
will narrowing	0
will annul	1
will annulled	0
will annulling	0
will rule	1
will ruled	0
will ruling	0
will resume	1
will resumed	0
will resuming	0
will back	1
will backed	0
will backing	0
will putt	1
will putted	0
will bark	1
will barked	0
will barking	0
will control	1
will controlled	0
will controlling	0
will reunite	1
will reunited	0
will reuniting	0
will notify	1
will notified	0
will notifying	0
will disapprove	1
will disapproved	0
will disapproving	0
will field	1
will fielded	0
will fielding	0
will stimulate	1
will stimulated	0
will stimulating	0
will target	1
will targeted	0
will targeting	0
will suppose	1
will supposed	0
will supposing	0
will inflict	1
will inflicted	0
will inflicting	0
will derail	1
will derailed	0
will derailing	0
will insist	1
will insisted	0
will insisting	0
will practise	1
will practised	0
will practising	0
will contact	1
will contacted	0
will contacting	0
will satisfy	1
will satisfied	0
will satisfying	0
will educate	1
will educated	0
will educating	0
will engineer	1
will engineered	0
will engineering	0
will sew	1
will sewn	0
will sewing	0
will establish	1
will established	0
will establishing	0
will dial	1
will dialed	0
will dialing	0
will apply	1
will applied	0
will applying	0
will spark	1
will sparked	0
will sparking	0
will associate	1
will associated	0
will associating	0
will print	1
will printed	0
will printing	0
will yell	1
will yelled	0
will yelling	0
will distract	1
will distracted	0
will distracting	0
will afford	1
will afforded	0
will affording	0
will wrestle	1
will wrestled	0
will wrestling	0
will grab	1
will grabbed	0
will grabbing	0
will direct	1
will directed	0
will directing	0
will oversee	1
will overseen	0
will overseeing	0
will interview	1
will interviewed	0
will interviewing	0
will prefer	1
will preferred	0
will preferring	0
will ring	1
will rung	0
will ringing	0
will merge	1
will merged	0
will merging	0
will elect	1
will elected	0
will electing	0
will signal	1
will signalled	0
will signalling	0
will battle	1
will battled	0
will battling	0
will ally	1
will allied	0
will allying	0
will influence	1
will influenced	0
will influencing	0
will collect	1
will collected	0
will collecting	0
will mirror	1
will mirrored	0
will mirroring	0
will designate	1
will designated	0
will designating	0
will punch	1
will punched	0
will punching	0
will doubt	1
will doubted	0
will doubting	0
will attach	1
will attached	0
will attaching	0
will touch	1
will touched	0
will touching	0
will log	1
will logged	0
will logging	0
will surpass	1
will surpassed	0
will surpassing	0
will augment	1
will augmented	0
will augmenting	0
will market	1
will marketed	0
will marketing	0
will reform	1
will reformed	0
will reforming	0
will emit	1
will emitted	0
will emitting	0
will star	1
will starred	0
will starring	0
will reveal	1
will revealed	0
